InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
576837,22333,RETROSPOT PARTY BAG + STICKER SET,2,11/16/2011 15:16,3.29,,United Kingdom
576837,22337,ANGEL DECORATION PAINTED ZINC ,9,11/16/2011 15:16,0.63,,United Kingdom
576837,22338,STAR DECORATION PAINTED ZINC ,12,11/16/2011 15:16,0.63,,United Kingdom
576837,22340,NOEL GARLAND PAINTED ZINC ,9,11/16/2011 15:16,0.83,,United Kingdom
576837,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,1,11/16/2011 15:16,4.96,,United Kingdom
576837,22355,CHARLOTTE BAG SUKI DESIGN,3,11/16/2011 15:16,1.63,,United Kingdom
576837,22356,CHARLOTTE BAG PINK POLKADOT,3,11/16/2011 15:16,1.63,,United Kingdom
576837,22357,KINGS CHOICE BISCUIT TIN,15,11/16/2011 15:16,4.13,,United Kingdom
576837,22360,GLASS JAR ENGLISH CONFECTIONERY,2,11/16/2011 15:16,5.79,,United Kingdom
576837,22361,GLASS JAR DAISY FRESH COTTON WOOL,4,11/16/2011 15:16,5.79,,United Kingdom
576837,22362,GLASS JAR PEACOCK BATH SALTS,2,11/16/2011 15:16,5.79,,United Kingdom
576837,22363,GLASS JAR MARMALADE ,1,11/16/2011 15:16,5.79,,United Kingdom
576837,22364,GLASS JAR DIGESTIVE BISCUITS,1,11/16/2011 15:16,5.79,,United Kingdom
576837,22365,DOORMAT RESPECTABLE HOUSE,1,11/16/2011 15:16,15.79,,United Kingdom
576837,22378,WALL TIDY RETROSPOT ,2,11/16/2011 15:16,4.13,,United Kingdom
576837,22379,RECYCLING BAG RETROSPOT ,4,11/16/2011 15:16,4.13,,United Kingdom
576837,22382,LUNCH BAG SPACEBOY DESIGN ,2,11/16/2011 15:16,4.13,,United Kingdom
576837,22386,JUMBO BAG PINK POLKADOT,2,11/16/2011 15:16,4.13,,United Kingdom
576837,22389,PAPERWEIGHT SAVE THE PLANET,1,11/16/2011 15:16,4.96,,United Kingdom
576837,22390,PAPERWEIGHT CHILDHOOD MEMORIES,1,11/16/2011 15:16,4.96,,United Kingdom
576837,22393,PAPERWEIGHT VINTAGE COLLAGE,1,11/16/2011 15:16,4.96,,United Kingdom
576837,22406,MONEY BOX KINGS CHOICE DESIGN,2,11/16/2011 15:16,2.46,,United Kingdom
576837,22419,LIPSTICK PEN RED,4,11/16/2011 15:16,0.83,,United Kingdom
576837,22423,REGENCY CAKESTAND 3 TIER,1,11/16/2011 15:16,24.96,,United Kingdom
576837,22429,ENAMEL MEASURING JUG CREAM,1,11/16/2011 15:16,8.29,,United Kingdom
576837,22434,BALLOON PUMP WITH 10 BALLOONS,1,11/16/2011 15:16,4.13,,United Kingdom
576837,22439,6 ROCKET BALLOONS ,1,11/16/2011 15:16,1.25,,United Kingdom
576837,22441,GROW YOUR OWN BASIL IN ENAMEL MUG,1,11/16/2011 15:16,4.13,,United Kingdom
576837,22446,PIN CUSHION BABUSHKA PINK,5,11/16/2011 15:16,2.46,,United Kingdom
576837,22453,MEASURING TAPE BABUSHKA BLUE,1,11/16/2011 15:16,5.79,,United Kingdom
576837,22456,NATURAL SLATE CHALKBOARD LARGE ,2,11/16/2011 15:16,9.96,,United Kingdom
576837,22457,NATURAL SLATE HEART CHALKBOARD ,1,11/16/2011 15:16,5.79,,United Kingdom
576837,22466,FAIRY TALE COTTAGE NIGHT LIGHT,10,11/16/2011 15:16,4.13,,United Kingdom
576837,22468,BABUSHKA LIGHTS STRING OF 10,1,11/16/2011 15:16,13.29,,United Kingdom
576837,22475,SKULL DESIGN TV DINNER TRAY,1,11/16/2011 15:16,10.79,,United Kingdom
576837,22481,BLACK TEA TOWEL CLASSIC DESIGN,1,11/16/2011 15:16,2.46,,United Kingdom
576837,22489,PACK OF 12 TRADITIONAL CRAYONS,5,11/16/2011 15:16,0.83,,United Kingdom
576837,22494,EMERGENCY FIRST AID TIN ,1,11/16/2011 15:16,2.46,,United Kingdom
576837,22495,SET OF 2 ROUND TINS CAMEMBERT ,1,11/16/2011 15:16,5.79,,United Kingdom
576837,22538,MINI JIGSAW GO TO THE FAIR,1,11/16/2011 15:16,0.83,,United Kingdom
576837,22547,MINI JIGSAW DINOSAUR ,1,11/16/2011 15:16,0.83,,United Kingdom
576837,22549,PICTURE DOMINOES,5,11/16/2011 15:16,3.29,,United Kingdom
576837,22550,HOLIDAY FUN LUDO,1,11/16/2011 15:16,7.46,,United Kingdom
576837,22553,PLASTERS IN TIN SKULLS,1,11/16/2011 15:16,3.29,,United Kingdom
576837,22554,PLASTERS IN TIN WOODLAND ANIMALS,2,11/16/2011 15:16,3.29,,United Kingdom
576837,22555,PLASTERS IN TIN STRONGMAN,4,11/16/2011 15:16,3.29,,United Kingdom
576837,22557,PLASTERS IN TIN VINTAGE PAISLEY ,1,11/16/2011 15:16,3.29,,United Kingdom
576837,22558,CLOTHES PEGS RETROSPOT PACK 24 ,1,11/16/2011 15:16,3.29,,United Kingdom
576837,22560,TRADITIONAL MODELLING CLAY,2,11/16/2011 15:16,2.46,,United Kingdom
576837,22565,FELTCRAFT HAIRBANDS PINK AND WHITE ,1,11/16/2011 15:16,1.63,,United Kingdom
576837,22566,FELTCRAFT HAIRBAND PINK AND PURPLE,1,11/16/2011 15:16,1.63,,United Kingdom
576837,22571,ROCKING HORSE RED CHRISTMAS ,1,11/16/2011 15:16,1.63,,United Kingdom
576837,22574,HEART WOODEN CHRISTMAS DECORATION,3,11/16/2011 15:16,1.63,,United Kingdom
576837,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,21,11/16/2011 15:16,0.83,,United Kingdom
576837,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,20,11/16/2011 15:16,0.83,,United Kingdom
576837,22579,WOODEN TREE CHRISTMAS SCANDINAVIAN,20,11/16/2011 15:16,0.83,,United Kingdom
576837,22580,ADVENT CALENDAR GINGHAM SACK,13,11/16/2011 15:16,4.13,,United Kingdom
576837,22581,WOOD STOCKING CHRISTMAS SCANDISPOT,18,11/16/2011 15:16,0.83,,United Kingdom
576837,22585,PACK OF 6 BIRDY GIFT TAGS,2,11/16/2011 15:16,2.46,,United Kingdom
576837,22586,FELTCRAFT HAIRBAND PINK AND BLUE,1,11/16/2011 15:16,1.63,,United Kingdom
576837,22591,CARDHOLDER GINGHAM CHRISTMAS TREE,1,11/16/2011 15:16,6.63,,United Kingdom
576837,22592,CARDHOLDER HOLLY WREATH METAL,7,11/16/2011 15:16,7.46,,United Kingdom
576837,22593,CHRISTMAS GINGHAM STAR,1,11/16/2011 15:16,1.63,,United Kingdom
576837,22594,CHRISTMAS GINGHAM TREE,1,11/16/2011 15:16,1.63,,United Kingdom
576837,22596,CHRISTMAS STAR WISH LIST CHALKBOARD,8,11/16/2011 15:16,2.46,,United Kingdom
576837,22597,MUSICAL ZINC HEART DECORATION ,2,11/16/2011 15:16,0.83,,United Kingdom
576837,22598,CHRISTMAS MUSICAL ZINC TREE,3,11/16/2011 15:16,0.83,,United Kingdom
576837,22599,CHRISTMAS MUSICAL ZINC STAR,3,11/16/2011 15:16,0.83,,United Kingdom
576837,22600,CHRISTMAS RETROSPOT STAR WOOD,5,11/16/2011 15:16,1.63,,United Kingdom
576837,22603,CHRISTMAS RETROSPOT TREE WOOD,2,11/16/2011 15:16,1.63,,United Kingdom
576837,22608,PENS ASSORTED FUNKY JEWELED ,12,11/16/2011 15:16,0.42,,United Kingdom
576837,22613,PACK OF 20 SPACEBOY NAPKINS,1,11/16/2011 15:16,1.63,,United Kingdom
576837,22615,PACK OF 12 CIRCUS PARADE TISSUES ,2,11/16/2011 15:16,0.83,,United Kingdom
576837,22616,PACK OF 12 LONDON TISSUES ,1,11/16/2011 15:16,0.83,,United Kingdom
576837,22617,BAKING SET SPACEBOY DESIGN,1,11/16/2011 15:16,10.79,,United Kingdom
576837,22619,SET OF 6 SOLDIER SKITTLES,3,11/16/2011 15:16,7.46,,United Kingdom
576837,22620,4 TRADITIONAL SPINNING TOPS,1,11/16/2011 15:16,2.46,,United Kingdom
576837,22621,TRADITIONAL KNITTING NANCY,1,11/16/2011 15:16,3.29,,United Kingdom
576837,22627,MINT KITCHEN SCALES,2,11/16/2011 15:16,16.63,,United Kingdom
576837,22628,PICNIC BOXES SET OF 3 RETROSPOT ,1,11/16/2011 15:16,9.96,,United Kingdom
576837,22630,DOLLY GIRL LUNCH BOX,3,11/16/2011 15:16,4.13,,United Kingdom
576837,22650,CERAMIC PIRATE CHEST MONEY BANK,1,11/16/2011 15:16,3.29,,United Kingdom
576837,22651,GENTLEMAN SHIRT REPAIR KIT ,3,11/16/2011 15:16,1.63,,United Kingdom
576837,22653,BUTTON BOX ,17,11/16/2011 15:16,1.63,,United Kingdom
576837,22654,DELUXE SEWING KIT ,10,11/16/2011 15:16,5.79,,United Kingdom
576837,22664,TOY TIDY DOLLY GIRL DESIGN,1,11/16/2011 15:16,4.13,,United Kingdom
576837,22666,RECIPE BOX PANTRY YELLOW DESIGN,3,11/16/2011 15:16,5.79,,United Kingdom
576837,22670,FRENCH WC SIGN BLUE METAL,1,11/16/2011 15:16,2.46,,United Kingdom
576837,22671,FRENCH LAUNDRY SIGN BLUE METAL,1,11/16/2011 15:16,3.29,,United Kingdom
576837,22680,FRENCH BLUE METAL DOOR SIGN 5,1,11/16/2011 15:16,2.46,,United Kingdom
576837,22691,DOORMAT WELCOME SUNRISE,1,11/16/2011 15:16,15.79,,United Kingdom
576837,22692,DOORMAT WELCOME TO OUR HOME,1,11/16/2011 15:16,15.79,,United Kingdom
576837,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,4,11/16/2011 15:16,2.5,,United Kingdom
576837,22694,WICKER STAR ,2,11/16/2011 15:16,4.13,,United Kingdom
576837,22696,WICKER WREATH LARGE,2,11/16/2011 15:16,4.13,,United Kingdom
576837,22697,GREEN REGENCY TEACUP AND SAUCER,4,11/16/2011 15:16,5.79,,United Kingdom
576837,22698,PINK REGENCY TEACUP AND SAUCER,1,11/16/2011 15:16,5.79,,United Kingdom
576837,22703,PINK CAT BOWL,1,11/16/2011 15:16,1.63,,United Kingdom
576837,22712,CARD DOLLY GIRL ,2,11/16/2011 15:16,0.83,,United Kingdom
576837,22713,CARD I LOVE LONDON ,2,11/16/2011 15:16,0.83,,United Kingdom
576837,22716,CARD CIRCUS PARADE,1,11/16/2011 15:16,0.83,,United Kingdom
576837,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,2,11/16/2011 15:16,10.79,,United Kingdom
576837,22721,SET OF 3 CAKE TINS SKETCHBOOK,1,11/16/2011 15:16,10.79,,United Kingdom
576837,22722,SET OF 6 SPICE TINS PANTRY DESIGN,2,11/16/2011 15:16,8.29,,United Kingdom
576837,22723,SET OF 6 HERB TINS SKETCHBOOK,1,11/16/2011 15:16,8.29,,United Kingdom
576837,22725,ALARM CLOCK BAKELIKE CHOCOLATE,1,11/16/2011 15:16,7.46,,United Kingdom
576837,22726,ALARM CLOCK BAKELIKE GREEN,1,11/16/2011 15:16,7.46,,United Kingdom
576837,22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,1,11/16/2011 15:16,5.79,,United Kingdom
576837,22738,RIBBON REEL SNOWY VILLAGE,1,11/16/2011 15:16,3.29,,United Kingdom
576837,22739,RIBBON REEL CHRISTMAS SOCK BAUBLE,1,11/16/2011 15:16,3.29,,United Kingdom
576837,22741,FUNKY DIVA PEN,2,11/16/2011 15:16,1.63,,United Kingdom
576837,22745,POPPY'S PLAYHOUSE BEDROOM ,1,11/16/2011 15:16,4.13,,United Kingdom
576837,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,2,11/16/2011 15:16,7.46,,United Kingdom
576837,22750,FELTCRAFT PRINCESS LOLA DOLL,2,11/16/2011 15:16,7.46,,United Kingdom
576837,22751,FELTCRAFT PRINCESS OLIVIA DOLL,1,11/16/2011 15:16,7.46,,United Kingdom
576837,22753,SMALL YELLOW BABUSHKA NOTEBOOK ,2,11/16/2011 15:16,1.63,,United Kingdom
576837,22754,SMALL RED BABUSHKA NOTEBOOK ,1,11/16/2011 15:16,1.63,,United Kingdom
576837,22755,SMALL PURPLE BABUSHKA NOTEBOOK ,1,11/16/2011 15:16,1.63,,United Kingdom
576837,22759,SET OF 3 NOTEBOOKS IN PARCEL,2,11/16/2011 15:16,3.29,,United Kingdom
576837,22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,5,11/16/2011 15:16,2.46,,United Kingdom
576837,22773,GREEN DRAWER KNOB ACRYLIC EDWARDIAN,4,11/16/2011 15:16,2.46,,United Kingdom
576837,22781,GUMBALL MAGAZINE RACK,1,11/16/2011 15:16,14.96,,United Kingdom
576837,22784,LANTERN CREAM GAZEBO ,4,11/16/2011 15:16,10.79,,United Kingdom
576837,22791,T-LIGHT GLASS FLUTED ANTIQUE,5,11/16/2011 15:16,2.46,,United Kingdom
576837,22807,SET OF 6 T-LIGHTS TOADSTOOLS,1,11/16/2011 15:16,5.79,,United Kingdom
576837,22810,SET OF 6 T-LIGHTS SNOWMEN,1,11/16/2011 15:16,5.79,,United Kingdom
576837,22815,CARD PSYCHEDELIC APPLES,2,11/16/2011 15:16,0.42,,United Kingdom
576837,22816,CARD MOTORBIKE SANTA,3,11/16/2011 15:16,0.42,,United Kingdom
576837,22818,CARD CHRISTMAS VILLAGE,4,11/16/2011 15:16,0.42,,United Kingdom
"576837,22819,""BIRTHDAY CARD, RETRO SPOT"",2,11/16/2011 15:16,0.42,,United Kingdom"
576837,22835,HOT WATER BOTTLE I AM SO POORLY,2,11/16/2011 15:16,10.79,,United Kingdom
576837,22866,HAND WARMER SCOTTY DOG DESIGN,1,11/16/2011 15:16,4.13,,United Kingdom
576837,22871,NUMBER TILE COTTAGE GARDEN 3 ,1,11/16/2011 15:16,4.13,,United Kingdom
576837,22878,NUMBER TILE COTTAGE GARDEN No,1,11/16/2011 15:16,4.13,,United Kingdom
576837,22893,MINI CAKE STAND T-LIGHT HOLDER,1,11/16/2011 15:16,0.83,,United Kingdom
576837,22895,SET OF 2 TEA TOWELS APPLE AND PEARS,1,11/16/2011 15:16,6.63,,United Kingdom
576837,22896,PEG BAG APPLES DESIGN,1,11/16/2011 15:16,4.96,,United Kingdom
576837,22897,OVEN MITT APPLES DESIGN,2,11/16/2011 15:16,3.29,,United Kingdom
576837,22899,CHILDREN'S APRON DOLLY GIRL ,1,11/16/2011 15:16,4.13,,United Kingdom
576837,22900,SET 2 TEA TOWELS I LOVE LONDON ,2,11/16/2011 15:16,6.63,,United Kingdom
576837,22905,CALENDAR IN SEASON DESIGN,3,11/16/2011 15:16,2.46,,United Kingdom
576837,22906,12 MESSAGE CARDS WITH ENVELOPES,2,11/16/2011 15:16,3.29,,United Kingdom
576837,22907,PACK OF 20 NAPKINS PANTRY DESIGN,1,11/16/2011 15:16,1.63,,United Kingdom
576837,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,8,11/16/2011 15:16,1.63,,United Kingdom
576837,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,6,11/16/2011 15:16,5.79,,United Kingdom
576837,22937,BAKING MOULD CHOCOLATE CUPCAKES,1,11/16/2011 15:16,4.96,,United Kingdom
576837,22939,ADULT APRON APPLE DELIGHT,1,11/16/2011 15:16,10.79,,United Kingdom
576837,22944,CHRISTMAS METAL POSTCARD WITH BELLS,6,11/16/2011 15:16,0.97,,United Kingdom
576837,22948,METAL DECORATION NAUGHTY CHILDREN ,4,11/16/2011 15:16,1.66,,United Kingdom
576837,22951,60 CAKE CASES DOLLY GIRL DESIGN,1,11/16/2011 15:16,1.25,,United Kingdom
576837,22952,60 CAKE CASES VINTAGE CHRISTMAS,7,11/16/2011 15:16,1.25,,United Kingdom
576837,22960,JAM MAKING SET WITH JARS,6,11/16/2011 15:16,8.29,,United Kingdom
576837,22961,JAM MAKING SET PRINTED,4,11/16/2011 15:16,3.29,,United Kingdom
576837,22963,JAM JAR WITH GREEN LID,1,11/16/2011 15:16,1.63,,United Kingdom
576837,22964,3 PIECE SPACEBOY COOKIE CUTTER SET,1,11/16/2011 15:16,4.13,,United Kingdom
576837,22966,GINGERBREAD MAN COOKIE CUTTER,1,11/16/2011 15:16,2.46,,United Kingdom
576837,22969,HOMEMADE JAM SCENTED CANDLES,4,11/16/2011 15:16,3.29,,United Kingdom
576837,22975,SPACEBOY CHILDRENS EGG CUP,1,11/16/2011 15:16,2.46,,United Kingdom
576837,22978,PANTRY ROLLING PIN,1,11/16/2011 15:16,7.46,,United Kingdom
576837,22982,PANTRY PASTRY BRUSH,1,11/16/2011 15:16,2.46,,United Kingdom
576837,22988,SOLDIERS EGG CUP ,2,11/16/2011 15:16,2.46,,United Kingdom
576837,22989,SET 2 PANTRY DESIGN TEA TOWELS,1,11/16/2011 15:16,6.63,,United Kingdom
576837,22990,COTTON APRON PANTRY DESIGN,1,11/16/2011 15:16,10.79,,United Kingdom
576837,22992,REVOLVER WOODEN RULER ,1,11/16/2011 15:16,4.13,,United Kingdom
576837,22993,SET OF 4 PANTRY JELLY MOULDS,1,11/16/2011 15:16,2.46,,United Kingdom
576837,22994,TRAVEL CARD WALLET RETROSPOT,1,11/16/2011 15:16,0.83,,United Kingdom
576837,22995,TRAVEL CARD WALLET SUKI,1,11/16/2011 15:16,0.83,,United Kingdom
576837,22996,TRAVEL CARD WALLET VINTAGE TICKET,2,11/16/2011 15:16,0.83,,United Kingdom
576837,22998,TRAVEL CARD WALLET KEEP CALM,2,11/16/2011 15:16,0.83,,United Kingdom
576837,23004,TRAVEL CARD WALLET PANTRY,3,11/16/2011 15:16,0.83,,United Kingdom
576837,23005,TRAVEL CARD WALLET I LOVE LONDON,5,11/16/2011 15:16,0.83,,United Kingdom
576837,23009,I LOVE LONDON BABY GIFT SET,1,11/16/2011 15:16,10.79,,United Kingdom
576837,23081,GREEN METAL BOX ARMY SUPPLIES,1,11/16/2011 15:16,16.63,,United Kingdom
576837,23083,SET 6 PAPER TABLE LANTERN STARS ,1,11/16/2011 15:16,7.46,,United Kingdom
576837,23084,RABBIT NIGHT LIGHT,36,11/16/2011 15:16,4.13,,United Kingdom
576837,23087,ZINC  HEART T-LIGHT HOLDER,1,11/16/2011 15:16,2.46,,United Kingdom
576837,23089,GLASS BON BON JAR,1,11/16/2011 15:16,3.29,,United Kingdom
576837,23090,VINTAGE GLASS T-LIGHT HOLDER,1,11/16/2011 15:16,1.63,,United Kingdom
576837,23100,SILVER BELLS TABLE DECORATION,4,11/16/2011 15:16,2.46,,United Kingdom
576837,23101,SILVER STARS TABLE DECORATION,1,11/16/2011 15:16,2.46,,United Kingdom
576837,23108,SET OF 10 LED DOLLY LIGHTS,2,11/16/2011 15:16,12.46,,United Kingdom
576837,23109,PACK OF SIX LED TEA LIGHTS,1,11/16/2011 15:16,5.79,,United Kingdom
576837,23110,PARISIENNE KEY CABINET ,1,11/16/2011 15:16,12.46,,United Kingdom
576837,23138,SINGLE WIRE HOOK IVORY HEART,1,11/16/2011 15:16,3.29,,United Kingdom
576837,23158,SET OF 5 LUCKY CAT MAGNETS ,1,11/16/2011 15:16,4.13,,United Kingdom
576837,23165,LARGE CERAMIC TOP STORAGE JAR,5,11/16/2011 15:16,3.29,,United Kingdom
576837,23168,CLASSIC CAFE SUGAR DISPENSER,2,11/16/2011 15:16,2.46,,United Kingdom
576837,23170,REGENCY TEA PLATE ROSES ,1,11/16/2011 15:16,3.29,,United Kingdom
576837,23171,REGENCY TEA PLATE GREEN ,1,11/16/2011 15:16,3.29,,United Kingdom
576837,23172,REGENCY TEA PLATE PINK,1,11/16/2011 15:16,3.29,,United Kingdom
576837,23177,TREASURE ISLAND BOOK BOX,1,11/16/2011 15:16,4.58,,United Kingdom
576837,23182,TOILET SIGN OCCUPIED OR VACANT,2,11/16/2011 15:16,2.46,,United Kingdom
576837,23184,BULL DOG BOTTLE OPENER,1,11/16/2011 15:16,10.79,,United Kingdom
576837,23188,VINTAGE  2 METRE FOLDING RULER,1,11/16/2011 15:16,3.29,,United Kingdom
576837,23189,SET OF 12 FORK CANDLES,1,11/16/2011 15:16,5.79,,United Kingdom
576837,23193,BUFFALO BILL TREASURE BOOK BOX,1,11/16/2011 15:16,4.58,,United Kingdom
576837,23194,GYMKHANA TREASURE BOOK BOX,1,11/16/2011 15:16,4.58,,United Kingdom
576837,23197,SKETCHBOOK MAGNETIC SHOPPING LIST,1,11/16/2011 15:16,3.29,,United Kingdom
576837,23198,PANTRY MAGNETIC  SHOPPING LIST,23,11/16/2011 15:16,3.29,,United Kingdom
576837,23199,JUMBO BAG APPLES,2,11/16/2011 15:16,4.13,,United Kingdom
576837,23202,JUMBO BAG VINTAGE LEAF,4,11/16/2011 15:16,4.13,,United Kingdom
576837,23203,JUMBO BAG VINTAGE DOILY ,5,11/16/2011 15:16,4.13,,United Kingdom
576837,23205,CHARLOTTE BAG VINTAGE ALPHABET ,2,11/16/2011 15:16,1.63,,United Kingdom
576837,23211,RED ROCKING HORSE HAND PAINTED,1,11/16/2011 15:16,2.46,,United Kingdom
576837,23213,STAR WREATH DECORATION WITH BELL,3,11/16/2011 15:16,2.46,,United Kingdom
576837,23217,LAUREL HEART ANTIQUE SILVER,3,11/16/2011 15:16,2.46,,United Kingdom
576837,23219,LAUREL STAR ANTIQUE SILVER ,1,11/16/2011 15:16,2.46,,United Kingdom
576837,23220,REINDEER HEART DECORATION GOLD,2,11/16/2011 15:16,1.63,,United Kingdom
576837,23221,REINDEER HEART DECORATION SILVER,2,11/16/2011 15:16,1.63,,United Kingdom
576837,23223,CHRISTMAS TREE HANGING SILVER ,1,11/16/2011 15:16,1.63,,United Kingdom
576837,23234,BISCUIT TIN VINTAGE CHRISTMAS,2,11/16/2011 15:16,5.79,,United Kingdom
576837,23236,STORAGE TIN VINTAGE DOILY ,2,11/16/2011 15:16,5.79,,United Kingdom
576837,23238,SET OF 4 KNICK KNACK TINS LONDON ,1,11/16/2011 15:16,8.29,,United Kingdom
576837,23243,SET OF TEA COFFEE SUGAR TINS PANTRY,4,11/16/2011 15:16,10.79,,United Kingdom
